CÓDIGO;COMPONENTE_CURRICULAR;HABILIDADE;
EF06AR24;ARTE; Reconhecer, Apreciar e Investigar artistas, grupos e coletivos cênicos de circo -teatro(teatrocircense e circo paulistas, brasileiros e estrangeiros de diferentes épocas, investigando os modos de criação, produção, divulgação, circulação e organização da atuação profissional.;
EF06AR25;ARTE; Investigar, Identificar, Analisar e Aprimorar a comédia e a farsa como gêneros teatrais e a relação entre as linguagens teatral e circense em diferentes tempos e espaços aprimorando a capacidade de apreciação estética teatral.;
EF06AR26;ARTE; Explorar e Reconhecer diferentes elementos envolvidos na composição de acontecimentos cênicos da comédia e da farsa, do circo teatro (teatro circense e do circo (figurinos, adereços, maquiagem/visagismo, cenário, iluminação e sonoplastia e reconhecer seus vocabulários;
EF06AR28;ARTE; Investigar,  Experimentar e Compreender diferentes funções teatrais (ator, figurinista, aderecista e maquiador/visagista etc. e compreender a relação entre elas nos processos de criação de personagem.;
EF06CI06;CIÊNCIAS; Concluir com base na análise de ilustra - ções e ou modelos físicos ou digitais, que os orga - nismos são um complexo arranjo de sistemas com diferentes níveis de organização.;
EF06CI07;CIÊNCIAS;Justificar opapeldosistemanervosona coordenaçãodasações motoras esensoriaisdocor - po, com base na compreensão e análise de suas estru - turas básicas e respectivasfunções.;
EF06CI08;CIÊNCIAS; Explicar a importância da visão captação einterpretação das imagens nainteração do orga - nismo com o meio e, com base no funcionamento do olho humano, selecionar lentes adequadas para a cor - reção de diferentes defeitos da visão.;
EF06CI09;CIÊNCIAS;Concluir,combasenaobservaçãodesi - tuaçõesdocotidianooureproduzidasemvídeos,que a estrutura, a sustentação e a movimentação dos seres vertebrados resultamdainteraçãoentreossistemas muscular, ósseo enervoso.;
EF06CI10;CIÊNCIAS; Explicar como o funcionamento do siste - ma nervoso pode ser afetado por substâncias psicoa - tivas.;
EF06EF14;EDUCAÇÃO FÍSICA;   Experimentar, Fruir e Recriar diferentes lutas do Brasil, valorizando a própria segurança e integridade física, bem como as dos demais.;
EF06EF15;EDUCAÇÃO FÍSICA; Planejar e Utilizar estratégias básicas das lutas do Brasil, respeitando o colega como oponente.;
EF06EF16;EDUCAÇÃO FÍSICA; Identificar as características (códigos, rituais, elementos técnico -táticos, indumentária, materiais, instala - ções, instituições das lutas do Brasil.;
EF06EF24;EDUCAÇÃO FÍSICA;* Praticar um ou mais jogos de tabuleiro, utilizando as habilidades técnico -táticas básicas e respeitando as regras.;
EF06GE05;GEOGRAFIA; Caracterizar e Relacionar os biomas, ecossistemas e os recursos naturais em diferentes lugares  com os padrões e componentes climáticos, hidrográficos, geomorfológicos, pedológicos e biológicos.;
EF06GE10;GEOGRAFIA; Explicar, Identificar e Relacionar  a importância dos solos para a manutenção da vida, identificar os fatores de formação, tipos e usos  e relacionar com a permeabilidade e  a disponibilidade de água em diferentes lugares e tempos.;
EF06GE11;GEOGRAFIA; Analisar distintas interações das sociedades com a natureza com base na distribuição dos componentes físico-naturais, incluindo as transformações da biodiversidade local, regional e global.;
EF06GE16;GEOGRAFIA;* Descrever e Analisar as camadas da litosfera e analisar os processos endógenos e exógenos na formação e modelagem do relevo terrestre.;
EF06HI14;HISTÓRIA; Identificar e analisar Diferentes formas de contato, adaptação ou exclusão entre populações Em diferentes tempos e espaços;
EF06HI16;HISTÓRIA; Caracterizar e comparar As dinâmicas de abastecimento e as formas de organização do trabalho e da vida social Em diferentes sociedades e períodos, com destaque para as relações entre senhores e servos;
EF06HI18;HISTÓRIA; Analisar O papel do cristianismo na cultura, na política e na sociedade Durante o período medieval;
EF06HI21;HISTÓRIA;* Identificar As características e trajetórias do Cristianismo, do povo hebreu e do povo árabe Estabelecendo as relações do mundo medieval cristão com o mundo árabe, com o Império Otomano e com as populações judaicas;
